fx_rate_id	currency	fx_rate_to_usd
1	ARS	907
2	AUD	2
3	EUR	1
4	BDT	110
5	BRL	5
6	CAD	1
7	CLP	960
8	CNY	7
9	COP	3960
10	DKK	7
11	EGP	31
12	HKD	8
13	INR	84
14	IDR	15700
15	JPY	150
16	KES	129
17	MYR	5
18	MXN	17
19	NZD	2
20	NGN	1550
21	NOK	11
22	PKR	279
23	PHP	56
24	PLN	4
25	RUB	92
26	SAR	4
27	SGD	1
28	ZAR	19
29	KRW	1328
30	SEK	11
31	CHF	1
32	TWD	32
33	THB	35
34	TRY	30
35	AED	4
36	GBP	1
37	USD	1
38	VND	24500
