"employment_type","total_positions","average_salary","median_salary","maximum_salary","minimum_salary"
"FT","829","113311.52","110000.00","430967.00","5409.00"
"PT","6","37512.17","21497.50","125404.00","10354.00"
"CT","3","65833.33","90000.00","100000.00","7500.00"
"FL","1","50000.00","50000.00","50000.00","50000.00"
