"experience_level","total_positions","average_salary","median_salary","maximum_salary","minimum_salary"
"EX","14","150071.43","151500.00","221000","15000"
"SE","515","126895.58","120000.00","405000","15806"
"MI","222","98214.64","100000.00","430967","5723"
"EN","88","58544.91","55550.00","160000","5409"
