job_title_id	job_title
1	AI Engineer
2	Data Analyst
3	Frontend Developer
4	Business Analyst
5	Product Manager
6	Backend Developer
7	Machine Learning Engineer
8	DevOps Engineer
9	Software Engineer
10	Cybersecurity Analyst
11	Data Scientist
12	Cloud Engineer
